dest_country,shipper,value_norm_usd
Brazil,Haasen Sa,393584.0
Vietnam,Hd Hyundai Mipo Co. Ltd,391655.9436
Malaysia,Jiangsu Win Faith International Trade Co Ltd,389848.44
Vietnam,Yunnan Xiangfeng Tonghui New Material Technology Co. Ltd,380000.0
Vietnam,Super Gas Company Ltd.,379665.08262
Indonesia,Shanghai Envirotek Supplychain Management Co Ltd,377646.12
Nigeria,Agri Chemicals Ltd,376257.655
Malaysia,A R Engineering Co Inc,375586.01
Malaysia,Advantest Corporation 1 6 2 Marunou,373140.35000000003
Brazil,Swep Technology Suzhou Co Ltd,372204.13
Malaysia,Suzhou Alton Electrical,372074.94
Indonesia,"Shuangliang Eco-Energy Systems Co., Ltd.",371674.0
Nigeria,Paresa Spa,369628.564
Malaysia,Air Products Malaysia Sdn. Bhd.,365042.56
Vietnam,Daikin Fluorochemical (China) Co. Ltd.,360000.0
Brazil,Kaori Heat Treatment,359138.28
Vietnam,Nihon Spindle Cooling Towers Sdn. Bhd.,358770.19
Vietnam,Huizhou Dashun Air Conditioing Engineering Co Ltd,358324.0
Vietnam,Nantong Cimc Energy Equipment Co Ltd,358000.0
Vietnam,Astro Tech Co. Ltd.,358000.0
Malaysia,Deleum Oilfield Services Sdn Bhd,354654.85
Vietnam,Joint Sino Development Ltd,353843.0
Indonesia,Truwaters Cooling Towers Sdn. Bhd.,350462.22
United States,Inox India Limited,349866.25
Vietnam,Shenzhen Zhongshengxin Import And Export Trading Co Ltd,347361.97500000003
Malaysia,Taizhou Hbkang Trading Co Ltd,347113.16000000003
Indonesia,"Evapco (Shanghai) Refrigeration Equipment Co., Ltd.",346276.25
Nigeria,Advanced Gases Ltd,345231.528
Indonesia,Hangzhou Yangtong Technology Co. Ltd.,344795.72000000003
Malaysia,Spx Cooling Technologies Suzhou Co Ltd,344545.55
Malaysia,Texas Instruments Malaysia Sdn Bhd,334794.93
Malaysia,Spx Cooling Technologies Suzhou,330047.99
Vietnam,Cong Ty Tnhh Thuong Mai Dai Thuan,329854.17602
Malaysia,Real Quality International Trading Tianjin Co Ltd,328679.89
Vietnam,Nanjing C Hope Cement Engineering Group Co Ltd,323612.0
Vietnam,Liang Chi Ii (Vietnam) Industry Co. Ltd,323388.4661
Vietnam,Tai Shan Gases Co. Ltd.,323220.0
Vietnam,"Pingxiang New Hope Foreign Trade Co., Ltd.",320403.00771
Nigeria,Yilteks Energy Heat Machinery Manufacturing Industry And Foreign Trade Limited Company,320180.0
Vietnam,Dai Thuan Trading Co Ltd,319972.30176
