dest_country,shipper,value_usd
Vietnam,Damen Workboats B.V.,173163.13439
Vietnam,Hk Rongwei Technology Co Limited,172000.0
Vietnam,Gas Vietnam Co. Ltd,171717.96334000002
Kenya,Milkotronic Ltd Dhl Aero Expreso Sa,171710.78
Vietnam,Taian Strength Equipments Co Ltd,171600.0
Vietnam,Cong Ty Tnhh Iwatani Viet Nam,170898.95731
Senegal,Karbonsan Dry Ice And Pressure Vessels Industry Trade Joint Stock Company,167865.39
South Africa,Gokceler Domestic And Foreign Trade Cooling Systems Joint Stock Company,167272.6
Nigeria,Lions Machinery Engineering Ltd,165075.0
Vietnam,Forest Tavern International Co. Ltd.,165000.0
Malaysia,Taizhou Hbkang Trading Co Ltd,164984.63
Vietnam,Hainan Yongan Trade Co Ltd,163576.39984
Philippines,Guangxi Qin An Technology Co Ltd,162093.0
United Arab Emirates,Guven Bombe And Pressure Vessels Joint Stock Company,161306.0
United States,Yingyi Hai Phong Machinery Co. Ltd.,160610.22
Vietnam,J And E International China Co Ltd,160000.0
Vietnam,Vinacomin Mining Chemical Industry Holding Corporation Limited,160000.0
Vietnam,Yunnan Xiangfeng Tonghui New Material Technology Co Ltd,160000.0
Vietnam,Linggas Materials Tianjin Ltd,160000.0
Oman,Yilteks Energy Heat Machinery Manufacturing Industry And Foreign Trade Limited Company,159350.0
Malaysia,Kunshan Fager Mechanical And Electrical Engineering Co Ltd,157311.1
Philippines,Hubei Yaoxing International Trading Co Ltd,156470.0
Vietnam,Rk Engineering Co. Ltd.,156207.54
Vietnam,Cgn Dasheng Electron Accelerator Technology Co Ltd,155000.0
Philippines,Inox India Pvt. Ltd.,153448.47999999998
Vietnam,Huatai Yongchuang Beijing Tech Co Ltd,152520.0
Malaysia,Nxp Malaysia Sdn Bhd,152478.65
Vietnam,Inox India Ltd.,151500.0
Vietnam,Finn & Moa Industrial Co. Ltd.,150750.0
Philippines,Hangzhou Xiangertai Import Export,150392.0
Vietnam,Lowa Tech. Ltd.,150390.0
United Arab Emirates,Karbonsan Dry Ice And Pressure Vessels Industry Trade Joint Stock Company,148773.34
United States,Industrias Gutierrez S.A. De C.V.,146417.46000000002
Uganda,Total Energies Marketing Afrique 92069 Paris La De,145364.0
Saudi Arabia,Ak Steel Pipe Industry Joint Stock Company,144160.0
Vietnam,Cong Ty Tnhh Thiet Bi - He Thong L.P.G,141943.22271
Vietnam,Reamor Industry Hong Kong Ltd.,141075.0
Vietnam,Jiangsu Aricen Electronic Materials Co Ltd,140000.0
Vietnam,Shengbo Electronics Co Ltd,136440.0
Vietnam,Sei Electronic Components Vietnam Ltd,134818.5888
Vietnam,Iwatani Vietnam Co. Ltd.,134810.70387
India,Smc Corporation,133827.89
Uganda,A. Silva Matos Metalomecanica S.A.,133071.35
Qatar,Karbonsan Dry Ice And Pressure Vessels Industry Trade Joint Stock Company,132955.52
Vietnam,Cong Ty Tnhh San Xuat Lop Xe Bridgestone Viet Nam,129243.78277
Vietnam,Wisdri Engineering Research Inc Ltd,128102.0
Vietnam,Cryolor,127229.35636
Vietnam,Chinh Thuong Import Export Trading Investment Company Limited,126000.0
Malaysia,"Zhangjiagang Cimc Sanctum Cryogenic, Equipment Co Ltd",125292.01
Vietnam,Guangxi Nanning Vision Mechanical And Electrical Co Ltd,124408.17
United States,Hypro Engineers,123553.28
Vietnam,Suretank Ltd,122840.8
Vietnam,Cryolor Asia Pacific Pvt Ltd,122753.0
Vietnam,Kim Viet Phat Trading Joint Stock Company,120000.0
United Arab Emirates,Mig Company Ltd.,120000.0
Vietnam,"Shanghai Air Water International Trading Co., Ltd.",119600.0
Vietnam,Sopet Gas One Company Ltd.,119147.86321
Vietnam,Chart Cryogenic Engineer Systems Changzhou Co Ltd,117960.0
Malaysia,Beijing Tianhai Industry Co Ltd,117717.06
Malaysia,Krr Engineering Pvt Ltd,117488.41
Vietnam,Henan Xinlianxin Shenleng Energy Co Ltd,116375.0
United Arab Emirates,Industrias Gutierrez S.A. De C.V.,115439.48000000001
Uganda,De Visser Trading Bv,114562.24
Nigeria,Hubei Chengli Special Automobile Co Ltd,112923.15
Vietnam,Deutsche Lufthansa Aktiengesellschaft,112906.54
United Arab Emirates,Cazgir Construction Heat Systems Trade And Industry Joint Stock Company,112000.0
Saudi Arabia,Taylor Warthon Malaysia Sdn Bhd,111814.99
Vietnam,Chart Cryogenic Distribution Equipment (Changzhou) Co. Ltd.,111730.0
Vietnam,Air Water Vietnam Co Ltd,111700.0
Vietnam,"Huatai Yongchuang (Beijing) Tech., Co. Ltd.",111488.0
Vietnam,Inox India Private Liited,109100.0
Vietnam,Jiangsu Newcoso Machinery Co. Ltd,108628.08
Malaysia,Air Product Malaysia Sdn. Bhd.,108498.79
Namibia,Oeg Offshore Uk Limited,108467.73
Vietnam,Ningbo Mingxin Chemical Machinery Co Ltd,107300.0
Vietnam,Balchem Nv,107230.24700999999
Malaysia,Nanjing Ndt Commercial Trading Co Ltd,106080.17
Nigeria,Landi Renzo S P A And Ngv Systems,105727.13
Philippines,Nohmi Bosai Ltd,105034.8
Vietnam,Guang Dong Foster Fluid Technology Co Ltd,104600.1
Vietnam,Sei Electronics Components Vietnam Ltd,104049.68717
Vietnam,Global Gases Group Fze,104000.0
Vietnam,Solarspace Technology (Laos) Sole Co. Ltd,103217.23
Oman,Mimmak Marketing Import Export Industry And Trade Ltd,102900.0
Vietnam,Fu Sheng Vietnam Industrial Co. Ltd.,102859.33064
Malaysia,Hangzhou Chengyingi Energy Technology Co Ltd,102628.51000000001
Vietnam,Suzhou Oxygen Plant Co Ltd,102000.0
Nigeria,Bdp International Uk Limited,101699.389
Malaysia,Nantong Cimc Energy Eqpt Co Ltd,101692.65
United States,Chandra Asri Pacific Tbk,101518.54000000001
Vietnam,Patel International Ltd.,101280.0
Vietnam,Braden Uk Ltd.,101170.65562
Vietnam,Hunan Zisheng Technology Co Ltd,100530.0
Vietnam,Biz T International Cambodia Co Ltd,100000.0
India,Tianjin Cement Industry Design Reserch Institute,99572.38
Vietnam,Fine Both Trading Wuxi Co Ltd,99284.40000000001
Vietnam,Ningbo Eagle Machinery & Technology Co. Ltd,99000.0
South Sudan,Tononka Steels Limited,96133.301
Philippines,Linde Engineering Apac Co Ltd,95542.1
Philippines,Yangzhou Gao De Bao Gas Appliance M,95478.0
Vietnam,Mien Trung Gas Joint Stock Company,95133.03461
Vietnam,Towin Mechanical And Trading Joint Stock Company,93917.70800000001
Vietnam,Shanghai Lianfeng Gas Co Ltd,93846.35463
Saudi Arabia,Guven Bombe And Pressure Vessels Joint Stock Company,93801.5
Vietnam,"Guangdong Tangshihoa Industry And Trade Co., Ltd.",93200.0
Vietnam,"Nanjing Ocean Industry Co., Ltd.",92965.0
Vietnam,Asia Pacific Gas Enterprises Co. Ltd.,91700.0
Vietnam,Cong Ty Co Phan Tap Doan Investcorp Co. Ltd.,91499.66739
Vietnam,Kashiwa Chemical Company Ltd.,91286.0
South Sudan,Tononka Steels Ltd,91051.969
Vietnam,Vrv Asia Pacific Pvt Ltd,90255.0
Kenya,Optech Engineering Pvt. Ltd.,90135.41
Qatar,Vrv Asia Pacific Pvt. Ltd.,90051.5761662763
Vietnam,Daikin Chemical International Trading Shanghai Co Ltd,90000.0
Vietnam,Astro Engineering Vietnam Company Limited,90000.0
United Arab Emirates,Ak Steel Pipe Industry Joint Stock Company,89600.0
Vietnam,Gt Viet Nam Petrol Technology Joint Stock Company,89251.68325
Vietnam,Oriental Ocean Chemical Technology Pte. Ltd.,87400.0
Vietnam,"Guangxi Nanning Vision Mechanical & Electrical Co., Ltd.",86334.47
India,Flowserve Srl,85771.2
Vietnam,Isgec Heavy Engineering Ltd.,85410.0
Philippines,Jingmen Hongtu Special Aircraf,84928.5
Vietnam,Smart Gas Pte Ltd,84000.0
Kenya,Gasgrup Enerji Sistemleri Ins Taah San Ve Tic As,82332.95999999999
Vietnam,"Guangxi Pingxiang City Feng Song Import & Export Trading Co., Ltd.",82300.0
Vietnam,Yingyi Hai Phong Machinery Co. Ltd.,82069.56
Vietnam,Aj Mechanical Engineering Shanghai Co Ltd,81873.36132
Vietnam,Pingxiang Baihang Foreign Trade Co Ltd,81562.04436
Vietnam,Linde Malaysia Sdn Bhd,81500.0
United Arab Emirates,Svifflug S De Rl De Cv,81427.02
Vietnam,"Quzhou Xinyue Machinery Equipment Co., Ltd.",81020.0
Kenya,Cryotechnic Pressure Vessels Machinery Engineering Project Construction Import Export Industry And Trade Ltd,81000.0
Vietnam,Ningbo Dsw International Co. Ltd.,80520.8
Nigeria,Industrial Medical Gases Nigeria Plc,80246.713
Malaysia,Xiamen Tengsheng Investment Co Ltd,80238.68
Vietnam,Xinxiang Chengde Energy Technology Equipment Co Ltd,80200.0
Vietnam,J E International China Co Ltd,80000.0
United Arab Emirates,Brams Gases Ltd Kenblest Premises,79974.845
Philippines,Linyi Yongquan Import Export Co,79946.0
Philippines,Inox India Limited,79817.05
Vietnam,Fujian Jiuce Gas Co Ltd,79060.0
United Arab Emirates,Mimmak Marketing Import Export Industry And Trade Ltd,79000.0
United States,Mauria Udyog Ltd,78544.3
Vietnam,Cong Ty Trach Nhiem Huu Han Cong Nghiep Fu Sheng Viet Nam,78468.57526
Vietnam,"Jinan Deyang Cryogenic Technology Co., Ltd.",75804.0
United Arab Emirates,Betsima Engineering Industry And Trade Ltd,75500.0
Nigeria,Shangdong Kerui Petroleum Gas Equipment Co Ltd,74592.863
Vietnam,Damen Workboats B V,73633.91018
Vietnam,Precision Parts Uk Ltd.,73327.25943
Malaysia,Jiangsu Qiulin Special Energy,73012.53
Vietnam,Advanced Sciences Technologies Co Ltd,71731.89339
Vietnam,Cong Ty Co Phan Vat Tu Thiet Bi Y Te,71576.54061
Philippines,Hangzhou Tianlong Steel Cylinder Co Ltd,70991.2
Vietnam,Cong Ty Tnhh Gas Venus,70565.71396000001
Vietnam,Seojin System Co Ltd,69364.45
Malaysia,Renesas Semiconductor Kl Sdn Bhd,68701.79000000001
Vietnam,Asia Pacific Gas Enterprises Co Ltd,68550.0
Philippines,Hangzhou Xiangertai Importexport Co Ltd,68353.0
Philippines,Hangzhou Xiangertai Import And Export Co,68174.0
United Arab Emirates,Auriga Gases Services Llp,67529.67
